episodes,scores,avg_scores
893,-652,-1053.9011056588101
894,-1259.5380209685732,-1064.1364858684958
895,-442,-1062.9064858684958
896,-43,-1058.4564858684957
897,-911,-1064.776485868496
898,-891,-994.528803334061
899,-83,-969.148803334061
900,-98,-967.4388033340609
901,-71,-962.4488033340609
902,-913,-964.8437082783374
903,-330,-967.5237082783374
904,-515.7370403680783,-972.1010786820183
905,-673.7996234505152,-971.7090749165234
906,-264,-970.0890749165234
907,-1515,-979.0690749165234
908,-313,-980.4891669308812
909,-154,-977.5291669308812
910,-605,-983.0391669308812
911,-63,-978.2191669308813
912,-360,-976.2091669308813
913,-270,-921.9417613411149
914,-25,-906.6281028120503
915,-910,-899.6507016802524
916,115,-893.9707016802524
917,-259,-895.4707016802524
918,-925,-888.6328229252744
919,-273,-887.6628229252743
920,-1967,-888.8428229252744
